рейтинг,название на русском,назвение на английском,год выпуска,рейтинг кинопоиска
1,Аватар: Путь воды,Avatar: The Way of Water,2022,8.0
2,Уэнсдэй,Wednesday,2022,8.2
3,Мажор в Сочи,,2022,7.2
4,Монастырь,,2022,7.5
5,Достать ножи: Стеклянная луковица,Glass Onion: A Knives Out Mystery,2022,7.3
6,Мира,,2022,7.5
7,Аватар,Avatar,2009,8.0
8,Гарри Поттер и философский камень,Harry Potter and the Sorcerer's Stone,2001,8.3
9,Беспринципные,,2020,7.6
10,Бывшие. Happy end,,2022,5.8
11,Чук и Гек. Большое приключение,,2022,6.1
12,Трудные подростки,,2019,8.0
13,Вампиры средней полосы,,2021,8.2
14,Иван Царевич и Серый Волк 5,,2022,
15,Один дома,Home Alone,1990,8.3
16,Непослушник 2,,2022,6.0
17,Постучись в мою дверь,Sen Çal Kapımı,2020,8.1
18,Бесстыжие,Shameless,2011,8.7
19,Чебурашка,,2022,
20,Конец света,,2022,7.5
21,Гринч,The Grinch,2018,7.3
22,13 клиническая,,2022,7.6
23,Ёлки 9,,2022,4.8
24,Достать ножи,Knives Out,2019,8.1
25,Три тысячи лет желаний,Three Thousand Years of Longing,2022,7.3
26,Жестокая ночь,Violent Night,2022,6.6
27,Сердце пармы,,2022,6.8
28,Треугольник печали,Triangle of Sadness,2022,7.4
29,Банши Инишерина,The Banshees of Inisherin,2022,7.7
30,Триггер,,2018,8.5
31,Диверсанты,,2012,8.1
32,Ламборгини: Человек-легенда,Lamborghini: The Man Behind the Legend,2022,6.0
33,Быстрее пули,Bullet Train,2022,7.7
34,Новая игрушка,Le nouveau jouet,2022,
35,Чёрная Пантера: Ваканда навеки,Black Panther: Wakanda Forever,2022,6.8
36,Образцовый самец,Zoolander,2001,6.0
37,Гром: Трудное детство,,2022,
38,Непослушник,,2022,6.4
39,Человек-бензопила,Chainsaw Man,2022,8.6
40,Джентльмены,The Gentlemen,2019,8.5
41,Тест на беременность 3,,2022,7.4
42,Жуки,,2019,7.6
43,Реальная любовь,Love Actually,2003,7.9
44,Белый лотос,The White Lotus,2021,7.4
45,Мажор,,2014,8.2
46,Аватар 3,Avatar 3,2024,
47,Эмили в Париже,Emily in Paris,2020,7.3
48,Дом Дракона,House of the Dragon,2022,8.2
49,Рик и Морти,Rick and Morty,2013,9.0
50,Острые козырьки,Peaky Blinders,2013,8.4
51,Семейка Аддамс,The Addams Family,1991,7.7
52,Король Талсы,Tulsa King,2022,8.2
53,Вышка,Fall,2022,6.8
54,Чёрный Адам,Black Adam,2022,6.1
55,Клаус,Klaus,2019,8.7
56,Отчаянные домохозяйки,Desperate Housewives,2004,8.2
57,Семейка Аддамс,The Addams Family,2019,6.6
58,Очень странные дела,Stranger Things,2016,8.4
59,Игра престолов,Game of Thrones,2011,9.0
60,Сверхъестественное,Supernatural,2005,8.2
61,Отпуск по обмену,The Holiday,2006,7.7
62,Рождественская история,A Christmas Carol,2009,7.7
63,Атака титанов,Shingeki no kyojin,2013,8.6
64,Шантарам,Shantaram,2022,7.6
65,Брат 3,,2022,
66,Один дома 2: Затерянный в Нью-Йорке,Home Alone 2: Lost in New York,1992,8.0
67,Ассасин: Битва миров,Ci sha xiao shuo jia,2021,6.1
68,Я на перемотке!,,2022,7.6
69,Во все тяжкие,Breaking Bad,2008,8.9
70,Гнев человеческий,Wrath of Man,2021,7.6
71,Кот в сапогах 2: Последнее желание,Puss in Boots: The Last Wish,2022,
72,Интерстеллар,Interstellar,2014,8.6
73,Пиноккио Гильермо дель Торо,Guillermo del Toro's Pinocchio,2022,7.8
74,Алиса в Пограничье,Imawa no Kuni no Arisu,2020,7.3
75,Русалки,,2018,7.2
76,Гарри Поттер 20 лет спустя: Возвращение в Хогвартс,Harry Potter 20th Anniversary: Return to Hogwarts,2022,8.0
77,Фабельманы,The Fabelmans,2022,7.8
78,Офис,The Office,2005,8.6
79,1899,,2022,7.2
80,Гринч — похититель Рождества,How the Grinch Stole Christmas,2000,6.8
81,Властелин колец: Братство Кольца,The Lord of the Rings: The Fellowship of the Ring,2001,8.6
82,Темные начала,His Dark Materials,2019,7.6
83,Финник,,2022,7.8
84,Голяк,Brassic,2019,8.6
85,Нулевой пациент,,2022,8.4
86,Ведьмак: Происхождение,The Witcher: Blood Origin,2022,
87,Бывшие,,2016,7.4
88,Странный мир,Strange World,2022,5.0
89,Гарри Поттер и Тайная комната,Harry Potter and the Chamber of Secrets,2002,8.1
90,На Западном фронте без перемен,Im Westen nichts Neues,2022,7.6
91,Всё везде и сразу,Everything Everywhere All at Once,2021,7.3
92,Йеллоустоун,Yellowstone,2018,8.7
93,Маша и Медведь в кино: 12 месяцев,,2022,
94,Топ Ган: Мэверик,Top Gun: Maverick,2022,7.8
95,Меню,The Menu,2022,7.0
96,Вавилон,Babylon,2022,
97,Фантастические твари: Тайны Дамблдора,Fantastic Beasts: The Secrets of Dumbledore,2022,6.0
98,Друзья,Friends,1994,9.2
99,Дюна,Dune: Part One,2021,7.7
100,Шифр,,2018,8.4
101,Не смотрите наверх,Don't Look Up,2021,7.5
102,Полярный экспресс,The Polar Express,2004,7.2
103,Стражи Галактики: Праздничный спецвыпуск,The Guardians of the Galaxy: Holiday Special,2022,7.1
104,Щелкунчик и волшебная флейта,,2022,6.4
105,Периферийные устройства,The Peripheral,2022,7.2
106,Разделение,Severance,2022,8.3
107,Ветреный,Hercai,2019,7.7
108,Кошмар перед Рождеством,The Nightmare Before Christmas,1993,8.1
109,Начало,Inception,2010,8.7
110,Молодой человек,,2022,7.2
111,Ёлки,,2010,6.9
112,Рождество на двоих,Last Christmas,2019,6.8
113,В духе Рождества,Spirited,2022,6.5
114,Освобождение,Emancipation,2022,6.5
115,Гарри Поттер и узник Азкабана,Harry Potter and the Prisoner of Azkaban,2004,8.2
116,Жизнь по вызову,,2022,6.5
117,Бойцовский клуб,Fight Club,1999,8.6
118,Ведьмак,The Witcher,2019,7.3
119,Петр I: Последний царь и первый император,,2022,7.0
120,Американская история ужасов,American Horror Story,2011,7.9
121,Шерлок,Sherlock,2010,8.9
122,Ёлки-иголки,,2022,
123,Роковой патруль,Doom Patrol,2019,7.4
124,Реквием по мечте,Requiem for a Dream,2000,8.0
125,Семьянин,The Family Man,2000,7.7
126,Пацаны,The Boys,2019,8.3
127,Операция «Фортуна»: Искусство побеждать,Operation Fortune: Ruse de guerre,2023,
128,Анчартед: На картах не значится,Uncharted,2022,6.8
129,Семейка Аддамс: Горящий тур,The Addams Family 2,2021,6.4
130,Ходячие мертвецы,The Walking Dead,2010,8.0
131,Доктор Стрэндж: В мультивселенной безумия,Doctor Strange in the Multiverse of Madness,2022,6.5
132,Хранители снов,Rise of the Guardians,2012,7.9
133,Бэтмен,The Batman,2022,7.9
134,1+1,Intouchables,2011,8.8
135,Человек-паук: Нет пути домой,Spider-Man: No Way Home,2021,8.0
136,Настоящий детектив,True Detective,2014,8.7
137,Кабинет редкостей Гильермо дель Торо,Guillermo del Toro's Cabinet of Curiosities,2022,6.8
138,Волк с Уолл-стрит,The Wolf of Wall Street,2013,8.0
139,Андор,Andor,2022,8.2
140,Черное зеркало,Black Mirror,2011,8.5
141,Тачки,Cars,2006,7.5
142,Временные трудности,,2017,6.0
143,Властелин колец: Кольца власти,The Lord of the Rings: The Rings of Power,2022,6.2
144,Любовь. Смерть. Роботы,"Love, Death & Robots",2019,8.2
145,Американский психопат,American Psycho,2000,7.1
146,По соображениям совести,Hacksaw Ridge,2016,8.2
147,Территория,,2017,7.3
148,Капельник,,2022,8.0
149,Бегущий по лезвию 2049,Blade Runner 2049,2017,7.7
150,Остров проклятых,Shutter Island,2009,8.5
151,Билет в рай,Ticket to Paradise,2022,6.4
152,Эйфория,Euphoria,2019,7.6
153,Теория большого взрыва,The Big Bang Theory,2007,8.6
154,Целиком и полностью,Bones and All,2022,6.5
155,Серебряные коньки,,2020,7.5
156,Тор: Любовь и гром,Thor: Love and Thunder,2022,6.0
157,Тайна Коко,Coco,2017,8.7
158,Чарли и шоколадная фабрика,Charlie and the Chocolate Factory,2005,7.6
159,Зеленая книга,Green Book,2018,8.4
160,За пивом!,The Greatest Beer Run Ever,2022,7.4
161,Манюня,,2021,7.1
162,Бумажный дом,La casa de papel,2017,8.1
163,"Поймай меня, если сможешь",Catch Me If You Can,2002,8.5
164,Дневники вампира,The Vampire Diaries,2009,7.9
165,Тьма,Dark,2017,8.1
166,Первый встречный,Marry Me,2022,6.5
167,Лучше звоните Солу,Better Call Saul,2015,8.3
168,Пираты Карибского моря: Проклятие Черной жемчужины,Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.4
169,Монстр: История Джеффри Дамера,Dahmer - Monster: The Jeffrey Dahmer Story,2022,7.4
170,Список Шиндлера,Schindler's List,1993,8.8
171,Чёрная весна,,2022,7.7
172,Варвар,Barbarian,2022,6.6
173,Отель «Гранд Будапешт»,The Grand Budapest Hotel,2014,7.9
174,Новогодний корпоратив,Office Christmas Party,2016,5.7
175,Уэйн,Wayne,2019,8.2
176,"Не беспокойся, дорогая","Don't Worry, Darling",2022,6.5
177,Зеленая миля,The Green Mile,1999,9.1
178,Гравити Фолз,Gravity Falls,2012,9.0
179,Надвое,,2022,6.8
180,Большой куш,Snatch,2000,8.5
181,Энканто,Encanto,2021,7.5
